A	B	C	D
0.0000	0.0000	0.35355	0.30000
0.00054688	0.15866	0.39494	0.28752
0.0010938	0.30412	0.42336	0.26800
0.0016406	0.43320	0.43880	0.24237
0.0021875	0.54336	0.44156	0.21167
0.0027344	0.63269	0.43228	0.17700
0.0032813	0.69997	0.41190	0.13952
0.0038281	0.74463	0.38158	0.10039
0.0043750	0.76674	0.34270	0.060771
0.0049219	0.76697	0.29679	0.021747
0.0054687	0.74656	0.24549	-0.015665
0.0060156	0.70721	0.19046	-0.050548
0.0065625	0.65104	0.13342	-0.082106
0.0071094	0.58053	0.075991	-0.10968
0.0076563	0.49836	0.019755	-0.13275
0.0082031	0.40742	-0.033844	-0.15094
0.0087500	0.31064	-0.083514	-0.16406
0.0092969	0.21095	-0.12814	-0.17201
0.0098437	0.11119	-0.16680	-0.17490
0.010391	0.014069	-0.19880	-0.17291
0.010937	-0.077964	-0.22365	-0.16639
0.011484	-0.16272	-0.24108	-0.15575
0.012031	-0.23832	-0.25105	-0.14153
0.012578	-0.30325	-0.25369	-0.12429
0.013125	-0.35637	-0.24937	-0.10469
0.013672	-0.39690	-0.23857	-0.083367
0.014219	-0.42448	-0.22197	-0.061006
0.014766	-0.43908	-0.20033	-0.038263
0.015313	-0.44104	-0.17452	-0.015771
0.015859	-0.43103	-0.14546	0.0058777
0.016406	-0.40998	-0.11413	0.026149
0.016953	-0.37909	-0.081497	0.044576
0.017500	-0.33974	-0.048505	0.060765
0.018047	-0.29347	-0.016066	0.074408
0.018594	-0.24190	0.014978	0.085280
0.019141	-0.18674	0.043870	0.093246
0.019687	-0.12965	0.069955	0.098254
0.020234	-0.072292	0.092689	0.10034
0.020781	-0.016218	0.11165	0.099602
0.021328	0.037133	0.12654	0.096229
0.021875	0.086481	0.13718	0.090458
0.022422	0.13072	0.14354	0.082577
0.022969	0.16896	0.14567	0.072919
0.023516	0.20049	0.14377	0.061842
0.024062	0.22485	0.13810	0.049726
0.024609	0.24180	0.12904	0.036954
0.025156	0.25128	0.11701	0.023907
0.025703	0.25346	0.10252	0.010952
0.026250	0.24871	0.086083	-0.0015685
0.026797	0.23753	0.068257	-0.013341
0.027344	0.22059	0.049597	-0.024092
0.027891	0.19867	0.030655	-0.033589
0.028438	0.17264	0.011954	-0.041648
0.028984	0.14343	-0.0060153	-0.048132
0.029531	0.11200	-0.022811	-0.052956
0.030078	0.079335	-0.038046	-0.056084
0.030625	0.046372	-0.051400	-0.057526
0.031172	0.014019	-0.062619	-0.057340
0.031719	-0.016890	-0.071521	-0.055621
0.032266	-0.045603	-0.077998	-0.052502
0.032812	-0.071472	-0.082011	-0.048147
0.033359	-0.093962	-0.083592	-0.042741
0.033906	-0.11266	-0.082834	-0.036490
0.034453	-0.12727	-0.079891	-0.029610
0.035000	-0.13763	-0.074964	-0.022320
0.035547	-0.14371	-0.068297	-0.014840
0.036094	-0.14558	-0.060169	-0.0073821
0.036641	-0.14342	-0.050879	-0.00014572
0.037188	-0.13753	-0.040744	0.0066871
0.037734	-0.12827	-0.030083	0.012955
0.038281	-0.11608	-0.019214	0.018522
0.038828	-0.10146	-0.0084392	0.023276
0.039375	-0.084925	0.0019555	0.027137
0.039922	-0.067039	0.011712	0.030050
0.040469	-0.048357	0.020604	0.031990
0.041016	-0.029426	0.028441	0.032961
0.041563	-0.010769	0.035071	0.032990
0.042109	0.0071263	0.040385	0.032130
0.042656	0.023822	0.044312	0.030453
0.043203	0.038937	0.046826	0.028052
0.043750	0.052153	0.047939	0.025032
0.044297	0.063221	0.047699	0.021508
0.044844	0.071965	0.046189	0.017603
0.045391	0.078280	0.043522	0.013445
0.045938	0.082133	0.039834	0.0091599
0.046484	0.083560	0.035281	0.0048693
0.047031	0.082658	0.030036	0.00068935
0.047578	0.079583	0.024279	-0.0032737
0.048125	0.074540	0.018192	-0.0069255
0.048672	0.067775	0.011959	-0.010185
0.049219	0.059568	0.0057547	-0.012988
0.049766	0.050221	-0.00025474	-0.015282
0.050313	0.040049	-0.0059189	-0.017037
0.050859	0.029372	-0.011105	-0.018234
0.051406	0.018506	-0.015700	-0.018873
0.051953	0.0077542	-0.019614	-0.018969
0.052500	-0.0026007	-0.022779	-0.018549
0.053047	-0.012302	-0.025154	-0.017653
0.053594	-0.021127	-0.026718	-0.016333
0.054141	-0.028885	-0.027475	-0.014648
0.054687	-0.035430	-0.027450	-0.012663
0.055234	-0.040653	-0.026688	-0.010450
0.055781	-0.044488	-0.025251	-0.0080800
0.056328	-0.046910	-0.023216	-0.0056262
0.056875	-0.047933	-0.020670	-0.0031592
0.057422	-0.047610	-0.017712	-0.00074620
0.057969	-0.046023	-0.014444	0.0015510
0.058516	-0.043288	-0.010971	0.0036771
0.059062	-0.039542	-0.0073987	0.0055845
0.059609	-0.034943	-0.0038285	0.0072342
0.060156	-0.029663	-0.00035639	0.0085964
0.060703	-0.023882	0.0029298	0.0096506
0.061250	-0.017784	0.0059520	0.010386
0.061797	-0.011551	0.0086439	0.010800
0.062344	-0.0053589	0.010952	0.010900
0.062891	0.00062905	0.012835	0.010702
0.063437	0.0062628	0.014266	0.010227
0.063984	0.011411	0.015234	0.0095030
0.064531	0.015962	0.015737	0.0085644
0.065078	0.019827	0.015788	0.0074483
0.065625	0.022941	0.015411	0.0061946
0.066172	0.025263	0.014641	0.0048448
0.066719	0.026774	0.013521	0.0034408
0.067266	0.027479	0.012100	0.0020232
0.067813	0.027406	0.010433	0.00063103
0.068359	0.026599	0.0085796	-0.00069970
0.068906	0.025122	0.0065997	-0.0019367
0.069453	0.023053	0.0045537	-0.0030519
