X1	L1	X2	L2
11.900	9.2600	827.22	5.7400
12.000	9.4700	820.35	5.8600
12.100	9.9600	813.60	6.1000
12.200	10.130	806.95	6.2500
12.300	9.9500	800.42	6.2300
12.400	10.010	793.99	6.3300
12.500	10.130	787.66	6.4600
12.600	10.070	781.43	6.4900
12.700	10.160	775.31	6.6400
12.800	10.190	769.27	6.7900
12.900	10.100	763.33	6.9000
13.000	9.8900	757.48	6.9500
13.100	9.7500	751.72	7.0600
13.200	9.7600	746.05	7.2200
13.300	9.7400	740.46	7.3800
13.400	9.7800	734.96	7.6100
13.500	9.8200	729.53	7.8300
13.600	9.8200	724.19	8.0500
13.700	9.7800	718.92	8.2500
13.800	9.7100	713.73	8.4500
13.900	9.6800	708.62	8.6300
14.000	9.6500	703.58	8.8300
14.100	9.5800	698.61	9.1100
14.200	9.5000	693.71	9.3400
14.300	9.4100	688.87	9.5300
14.400	9.4000	684.11	9.7700
14.500	9.4000	679.41	10.000
14.600	9.3700	674.77	10.180
14.700	9.3800	670.20	10.370
14.800	9.4400	665.69	10.550
14.900	9.4700	661.24	10.720
15.000	9.4700	656.85	10.860
15.100	9.5300	652.51	11.040
15.200	9.6500	648.24	11.250
15.300	9.7300	644.02	11.470
15.400	9.8100	639.85	11.660
15.500	9.8900	635.74	11.840
15.600	9.9800	631.68	12.030
15.700	10.050	627.67	12.230
15.800	10.070	623.72	12.360
15.900	10.040	619.81	12.490
16.000	9.9800	615.95	12.640
16.100	9.8800	612.14	12.810
16.200	9.7100	608.37	12.960
16.300	9.5000	604.66	13.070
16.400	9.2100	600.98	13.190
16.500	8.9700	597.35	13.310
16.600	8.7400	593.77	13.480
16.700	8.5700	590.23	13.610
16.800	8.4300	586.73	13.740
16.900	8.3500	583.27	13.920
17.000	8.3200	579.85	14.080
17.100	8.3000	576.47	14.240
17.200	8.2900	573.14	14.340
17.300	8.3200	569.84	14.430
17.400	8.3800	566.57	14.540
17.500	8.4300	563.35	14.680
17.600	8.4600	560.16	14.750
17.700	8.4500	557.01	14.760
17.800	8.4600	553.89	14.810
17.900	8.4800	550.81	14.820
18.000	8.5100	547.76	14.830
18.100	8.5300	544.74	14.820
18.200	8.5200	541.76	14.710
18.300	8.4500	538.81	14.640
18.400	8.4000	535.90	14.550
18.500	8.3500	533.01	14.420
18.600	8.3200	530.16	14.290
18.700	8.2800	527.33	14.050
18.800	8.2300	524.54	13.770
18.900	8.1600	521.77	13.500
19.000	8.1000	519.04	13.170
19.100	8.1000	516.33	12.870
19.200	8.0900	513.65	12.560
19.300	8.1000	511.00	12.200
19.400	8.1400	508.38	11.830
19.500	8.1600	505.78	11.480
19.600	8.1900	503.21	11.110
19.700	8.2400	500.67	10.720
19.800	8.2900	498.15	10.270
19.900	8.3500	495.65	9.8300
20.000	8.3800	493.18	9.3700
20.100	8.4500	490.74	8.8900
20.200	8.5300	488.32	8.4100
20.300	8.5900	485.92	7.9600
20.400	8.6700	483.55	7.4800
20.500	8.7700	481.20	6.9900
20.600	8.8200	478.87	6.5500
20.700	8.9200	476.57	6.0900
20.800	9.0100	474.29	5.6500
20.900	9.1100	472.03	5.2500
21.000	9.2300	469.79	4.8700
21.100	9.4000	467.57	4.5400
21.200	9.5200	465.37	4.2400
21.300	9.6200	463.20	3.9600
21.400	9.7200	461.04	3.7100
21.500	9.8100	458.90	3.4800
21.600	9.8700	456.79	3.2900
21.700	9.9000	454.69	3.0900
21.800	9.9800	452.61	2.9100
21.900	10.080	450.56	2.7700
22.000	10.140	448.52	2.6500
22.100	10.210	446.49	2.5100
22.200	10.320	444.49	2.3900
22.300	10.400	442.50	2.3100
22.400	10.470	440.54	2.2400
22.500	10.540	438.59	2.1600
22.600	10.630	436.65	2.1000
22.700	10.720	434.74	2.0500
22.800	10.780	432.84	1.9900
22.900	10.850	430.95	1.9300
23.000	10.960	429.09	1.8700
23.100	11.050	427.24	1.8200
23.200	11.160	425.40	1.7600
23.300	11.310	423.58	1.7100
23.400	11.470	421.78	1.6900
23.500	11.620	419.99	1.6700
23.600	11.780	418.22	1.6400
23.700	11.950	416.46	1.6200
23.800	12.140	414.72	1.6000
23.900	12.330	412.99	1.6000
24.000	12.490	411.28	1.6000
24.100	12.660	409.58	1.6000
24.200	12.820	407.89	1.6000
24.300	12.960	406.22	1.6000
24.400	13.100	404.56	1.6100
24.500	13.240	402.92	1.6100
24.600	13.370	401.28	1.6000
24.700	13.470	399.67	1.5900
24.800	13.570	398.06	1.5700
24.900	13.670	396.47	1.5800
25.000	13.760	394.89	1.5800
25.100	13.830	393.32	1.5800
25.200	13.900	391.77	1.5700
25.300	13.920	390.22	1.5600
25.400	13.900	388.69	1.5400
25.500	13.910	387.18	1.5400
25.600	13.950	385.67	1.5300
25.700	13.960	384.17	1.5100
25.800	13.930	382.69	1.5000
25.900	13.880	381.22	1.5100
26.000	13.780	379.76	1.5200
26.100	13.680	378.31	1.5500
26.200	13.570	376.87	1.5900
26.300	13.400	375.44	1.6200
26.400	13.200	374.03	1.6500
26.500	13.000	372.62	1.6900
26.600	12.760	371.23	1.7300
26.700	12.480	369.84	1.7700
26.800	12.340	368.47	1.7900
26.900	12.300	367.10	1.7800
27.000	12.250	365.75	1.7700
27.100	12.290	364.40	1.9000
27.200	12.260	363.07	1.9000
27.300	12.260	361.74	1.9000
27.400	11.930	360.43	1.9300
27.500	11.510	359.12	1.9700
27.600	11.070	357.83	2.0000
27.700	10.670	356.54	2.0400
27.800	10.320	355.26	2.0700
27.900	9.9700	353.99	2.1200
28.000	9.6300	352.73	2.1600
28.100	9.3300	351.48	2.1900
28.200	9.0500	350.24	2.2300
28.300	8.7500	349.01	2.2600
28.400	8.4700	347.78	2.2900
28.500	8.2400	346.57	2.3200
28.600	8.0100	345.36	2.3400
28.700	7.7900	344.16	2.3700
28.800	7.6000	342.97	2.3900
28.900	7.4000	341.79	2.3900
29.000	7.2200	340.62	2.4000
29.100	7.0500	339.45	2.4100
29.200	6.9000	338.29	2.4100
29.300	6.7900	337.14	2.4200
29.400	6.6600	336.00	2.4300
29.500	6.5700	334.87	2.4200
29.600	6.4800	333.74	2.4200
29.700	6.4200	332.62	2.4300
29.800	6.3800	331.51	2.4300
29.900	6.3200	330.40	2.4200
30.000	6.3000	329.31	2.4100
30.100	6.3000	328.22	2.4000
30.200	6.3000	327.13	2.3800
30.300	6.3000	326.06	2.3600
30.400	6.3200	324.99	2.3500
30.500	6.3600	323.93	2.3300
30.600	6.4000	322.87	2.3200
30.700	6.4300	321.83	2.2900
30.800	6.4900	320.79	2.2700
30.900	6.5100	319.75	2.2500
31.000	6.5200	318.72	2.2200
31.100	6.5400	317.70	2.1900
31.200	6.5400	316.69	2.1700
31.300	6.5500	315.68	2.1500
31.400	6.5600	314.68	2.1300
31.500	6.5800	313.68	2.1100
31.600	6.5700	312.70	2.0900
31.700	6.5700	311.71	2.0700
31.800	6.5600	310.74	2.0500
31.900	6.5400	309.77	2.0200
32.000	6.5100	308.80	2.0000
32.100	6.4800	307.84	1.9800
32.200	6.4700	306.89	1.9600
32.300	6.4300	305.94	1.9400
32.400	6.3800	305.00	1.9100
32.500	6.3300	304.07	1.9000
32.600	6.2800	303.14	1.8800
32.700	6.2400	302.22	1.8600
32.800	6.1800	301.30	1.8400
32.900	6.1300	300.39	1.8300
33.000	6.0900	299.48	1.8300
33.100	6.0400	298.58	1.8100
33.200	5.9700	297.68	1.8100
33.300	5.9200	296.79	1.8000
33.400	5.8700	295.91	1.7900
33.500	5.8300	295.03	1.7900
33.600	5.7800	294.15	1.7800
33.700	5.7300	293.28	1.7700
33.800	5.6900	292.42	1.7700
33.900	5.6400	291.56	1.7700
34.000	5.5800	290.71	1.7700
34.100	5.5200	289.86	1.7600
34.200	5.4500	289.01	1.7600
34.300	5.4100	288.17	1.7600
34.400	5.3900	287.34	1.7500
34.500	5.3700	286.51	1.7500
34.600	5.3600	285.68	1.7500
34.700	5.3500	284.86	1.7500
34.800	5.3600	284.05	1.7600
34.900	5.3700	283.24	1.7600
35.000	5.3600	282.43	1.7700
35.100	5.3300	281.63	1.7700
35.200	5.3300	280.83	1.7700
35.300	5.3200	280.04	1.7800
35.400	5.3100	279.25	1.7900
35.500	5.3000	278.47	1.7900
35.600	5.2900	277.69	1.7900
35.700	5.2900	276.91	1.8000
35.800	5.2900	276.14	1.8100
35.900	5.2800	275.38	1.8200
36.000	5.2800	274.62	1.8300
36.100	5.2900	273.86	1.8300
36.200	5.3100	273.10	1.8400
36.300	5.3300	272.35	1.8500
36.400	5.3500	271.61	1.8500
36.500	5.3700	270.87	1.8400
36.600	5.3900	270.13	1.8400
36.700	5.4300	269.40	1.8400
36.800	5.4700	268.67	1.8500
36.900	5.4900	267.94	1.8600
37.000	5.4900	267.22	1.8600
37.100	5.5100	266.50	1.8600
37.200	5.5300	265.79	1.8600
37.300	5.5300	265.08	1.8600
37.400	5.5500	264.37	1.8600
37.500	5.5600	263.67	1.8600
37.600	5.5500	262.97	1.8500
37.700	5.5600	262.28	1.8400
37.800	5.5800	261.59	1.8400
37.900	5.6000	260.90	1.8500
38.000	5.5900	260.22	1.8500
38.100	5.6400	259.54	1.8600
38.200	5.6900	258.86	1.8800
38.300	5.7100	258.19	1.8900
38.400	5.7400	257.52	1.9100
38.500	5.7700	256.85	1.9400
38.600	5.7700	256.19	1.9700
38.700	5.7800	255.53	1.9900
38.800	5.8000	254.87	2.0000
38.900	5.8100	254.22	2.0300
39.000	5.8100	253.57	2.0500
39.100	5.8100	252.92	2.0800
39.200	5.8000	252.28	2.1000
39.300	5.8000	251.64	2.1100
39.400	5.8100	251.01	2.1100
39.500	5.8500	250.37	2.1300
39.600	5.8900	249.74	2.1500
39.700	5.9300	249.12	2.1700
39.800	5.9600	248.49	2.1900
39.900	5.9900	247.87	2.2100
40.000	6.0100	247.25	2.2300
40.100	6.0400	246.64	2.2600
40.200	6.0800	246.03	2.2900
40.300	6.1200	245.42	2.3100
40.400	6.1400	244.82	2.3400
40.500	6.1400	244.21	2.3700
40.600	6.1500	243.61	2.3800
40.700	6.1700	243.02	2.3900
40.800	6.1800	242.43	2.4100
40.900	6.1900	241.83	2.4100
41.000	6.2000	241.25	2.4200
41.100	6.2300	240.66	2.4400
41.200	6.2400	240.08	2.4700
41.300	6.2400	239.50	2.4900
41.400	6.2400	238.93	2.4900
41.500	6.2400	238.35	2.5000
41.600	6.2400	237.78	2.5200
41.700	6.2400	237.21	2.4700
41.800	6.2400	236.65	2.4400
41.900	6.2400	236.09	2.4400
42.000	6.2400	235.53	2.4400
42.100	6.2400	234.97	2.4600
42.200	6.2500	234.41	2.5000
42.300	6.2600	233.86	2.5300
42.400	6.2700	233.31	2.5500
42.500	6.2700	232.76	2.5700
42.600	6.2600	232.22	2.5800
42.700	6.2800	231.68	2.6200
42.800	6.3000	231.14	2.6500
42.900	6.3200	230.60	2.6600
43.000	6.3400	230.07	2.6800
43.100	6.3600	229.54	2.6800
43.200	6.4000	229.01	2.6800
43.300	6.4100	228.48	2.6600
43.400	6.4300	227.96	2.6600
43.500	6.4600	227.43	2.6700
43.600	6.5300	226.91	2.6800
43.700	6.5300	226.40	2.6800
43.800	6.5200	225.88	2.6900
43.900	6.5300	225.37	2.7100
44.000	6.5500	224.86	2.7200
44.100	6.5900	224.35	2.7500
44.200	6.6200	223.85	2.7900
44.300	6.6700	223.34	2.8200
44.400	6.7400	222.84	2.8600
44.500	6.8300	222.34	2.8900
44.600	6.8800	221.85	2.8900
44.700	6.9600	221.35	2.9100
44.800	7.0100	220.86	2.9500
44.900	7.1000	220.37	2.9800
45.000	7.2200	219.88	3.0300
45.100	7.2700	219.40	3.1200
45.200	7.3200	218.91	3.2400
45.300	7.3400	218.43	3.3400
45.400	7.3200	217.95	3.4200
45.500	7.3600	217.48	3.5100
45.600	7.4100	217.00	3.6500
45.700	7.5100	216.53	3.8000
45.800	7.6500	216.06	3.9200
45.900	7.8300	215.59	4.0200
46.000	8.0700	215.12	4.1600
46.100	8.2700	214.66	4.3300
46.200	8.3900	214.19	4.4400
46.300	8.5300	213.73	4.4800
