Frequency	Magnitude	Zero Line
-1.5708	0.12732	0.0000
-1.5461	0.12837	0.0000
-1.5213	0.12746	0.0000
-1.4966	0.12454	0.0000
-1.4718	0.11959	0.0000
-1.4471	0.11261	0.0000
-1.4224	0.10364	0.0000
-1.3976	0.092733	0.0000
-1.3729	0.079995	0.0000
-1.3482	0.065544	0.0000
-1.3234	0.049534	0.0000
-1.2987	0.032142	0.0000
-1.2740	0.013574	0.0000
-1.2492	-0.0059400	0.0000
-1.2245	-0.026150	0.0000
-1.1997	-0.046786	0.0000
-1.1750	-0.067562	0.0000
-1.1503	-0.088176	0.0000
-1.1255	-0.10832	0.0000
-1.1008	-0.12768	0.0000
-1.0761	-0.14593	0.0000
-1.0513	-0.16276	0.0000
-1.0266	-0.17785	0.0000
-1.0018	-0.19090	0.0000
-0.97711	-0.20162	0.0000
-0.95237	-0.20975	0.0000
-0.92763	-0.21501	0.0000
-0.90290	-0.21719	0.0000
-0.87816	-0.21607	0.0000
-0.85342	-0.21150	0.0000
-0.82869	-0.20333	0.0000
-0.80395	-0.19145	0.0000
-0.77921	-0.17579	0.0000
-0.75448	-0.15634	0.0000
-0.72974	-0.13310	0.0000
-0.70500	-0.10613	0.0000
-0.68027	-0.075507	0.0000
-0.65553	-0.041380	0.0000
-0.63079	-0.0039199	0.0000
-0.60605	0.036661	0.0000
-0.58132	0.080111	0.0000
-0.55658	0.12614	0.0000
-0.53184	0.17444	0.0000
-0.50711	0.22466	0.0000
-0.48237	0.27642	0.0000
-0.45763	0.32932	0.0000
-0.43290	0.38295	0.0000
-0.40816	0.43687	0.0000
-0.38342	0.49065	0.0000
-0.35868	0.54383	0.0000
-0.33395	0.59597	0.0000
-0.30921	0.64661	0.0000
-0.28447	0.69532	0.0000
-0.25974	0.74168	0.0000
-0.23500	0.78527	0.0000
-0.21026	0.82571	0.0000
-0.18553	0.86263	0.0000
-0.16079	0.89571	0.0000
-0.13605	0.92464	0.0000
-0.11132	0.94916	0.0000
-0.086578	0.96906	0.0000
-0.061841	0.98414	0.0000
-0.037104	0.99427	0.0000
-0.012367	0.99936	0.0000
0.012369	0.99936	0.0000
0.037106	0.99427	0.0000
0.061843	0.98414	0.0000
0.086580	0.96906	0.0000
0.11132	0.94916	0.0000
0.13605	0.92464	0.0000
0.16079	0.89570	0.0000
0.18553	0.86263	0.0000
0.21027	0.82570	0.0000
0.23500	0.78526	0.0000
0.25974	0.74167	0.0000
0.28448	0.69532	0.0000
0.30921	0.64661	0.0000
0.33395	0.59596	0.0000
0.35869	0.54383	0.0000
0.38342	0.49065	0.0000
0.40816	0.43687	0.0000
0.43290	0.38295	0.0000
0.45763	0.32932	0.0000
0.48237	0.27641	0.0000
0.50711	0.22466	0.0000
0.53185	0.17444	0.0000
0.55658	0.12614	0.0000
0.58132	0.080107	0.0000
0.60606	0.036657	0.0000
0.63079	-0.0039230	0.0000
0.65553	-0.041383	0.0000
0.68027	-0.075509	0.0000
0.70500	-0.10613	0.0000
0.72974	-0.13310	0.0000
0.75448	-0.15634	0.0000
0.77921	-0.17580	0.0000
0.80395	-0.19145	0.0000
0.82869	-0.20333	0.0000
0.85343	-0.21150	0.0000
0.87816	-0.21607	0.0000
0.90290	-0.21719	0.0000
0.92764	-0.21501	0.0000
0.95237	-0.20974	0.0000
0.97711	-0.20162	0.0000
1.0018	-0.19090	0.0000
1.0266	-0.17785	0.0000
1.0513	-0.16275	0.0000
1.0761	-0.14593	0.0000
1.1008	-0.12767	0.0000
1.1255	-0.10832	0.0000
1.1503	-0.088174	0.0000
1.1750	-0.067560	0.0000
1.1997	-0.046785	0.0000
1.2245	-0.026149	0.0000
1.2492	-0.0059384	0.0000
1.2740	0.013576	0.0000
1.2987	0.032144	0.0000
1.3234	0.049535	0.0000
1.3482	0.065546	0.0000
1.3729	0.079996	0.0000
1.3976	0.092734	0.0000
1.4224	0.10364	0.0000
1.4471	0.11261	0.0000
1.4718	0.11959	0.0000
1.4966	0.12454	0.0000
1.5213	0.12746	0.0000
1.5461	0.12837	0.0000
1.5708	0.12732	0.0000
