X1	Offset Displacement	X2	Displacement #2	X3	Displacement #3
0.58622	0.43220	1.9088e-08	0.43220		0.43220
0.053730	0.43220	0.00058345	0.43220	0.0010013	0.43220
0.068390	0.43220	0.00058345	0.43220	0.0010013	0.43220
0.039080	0.43220	0.00058345	0.43220	0.0010013	0.43220
0.053730	1.5847	0.0035245	1.5847	0.0060483	1.5847
0.039080	1.5847	0.0041198	1.5847	0.0070700	1.5847
0.048850	1.4407	0.0047033	1.4407	0.0080713	1.4407
0.034190	1.5847	0.0041198	1.5847	0.0070700	1.5847
0.024420	2.4492	0.013526	2.4492	0.023213	2.4492
0.014650	2.3051	0.014110	2.3051	0.024214	2.3051
4.9673e-09	2.1610	0.014110	2.1610		2.1610
0.014650	3.3136	0.019992	3.3136	0.034308	3.3136
0.019540	3.3136	0.022933	3.3136	0.039355	3.3136
0.019540	3.3136	0.022933	3.3136	0.039355	3.3136
0.029310	3.1695	0.022933	3.1695	0.039355	3.1695
0.063500	4.4661	0.032351	4.4661	0.055518	4.4661
0.053730	4.1780	0.033518	4.1780	0.057521	4.1780
0.073280	4.0339	0.034114	4.0339	0.058542	4.0339
0.092820	4.0339	0.034114	4.0339	0.058542	4.0339
0.11724	5.3305	0.044699	5.3305	0.076708	5.3305
0.12701	5.0424	0.045878	5.0424	0.078731	5.0424
0.13678	5.0424	0.046461	5.0424	0.079732	5.0424
0.13678	4.7542	0.047045	4.7542	0.080733	4.7542
0.14655	6.1949	0.057642	6.1949	0.098919	6.1949
0.15632	5.9068	0.058225	5.9068	0.099920	5.9068
0.16609	5.9068	0.058809	5.9068	0.10092	5.9068
0.16609	5.7627	0.059987	5.7627	0.10294	5.7627
0.17586	7.2034	0.069989	7.2034	0.12011	7.2034
0.16609	7.0593	0.070573	7.0593	0.12111	7.0593
0.15632	7.0593	0.071752	7.0593	0.12313	7.0593
0.13678	6.9153	0.071752	6.9153	0.12313	6.9153
0.15144	8.3559	0.080575	8.3559	0.13827	8.3559
0.14655	8.0678	0.081158	8.0678	0.13928	8.0678
0.12213	8.0678	0.081158	8.0678	0.13928	8.0678
0.11724	8.0678	0.081158	8.0678	0.13928	8.0678
0.12213	9.5085	0.089398	9.5085	0.15342	9.5085
0.12213	9.3644	0.089981	9.3644	0.15442	9.3644
0.12213	9.2203	0.089981	9.2203	0.15442	9.2203
0.13190	10.949	0.097042	10.949	0.16653	10.949
0.13678	10.805	0.097626	10.805	0.16754	10.805
0.14167	10.661	0.097626	10.661	0.16754	10.661
0.15144	10.517	0.098221	10.517	0.16856	10.517
0.16609	12.102	0.10410	12.102	0.17865	12.102
0.18563	11.958	0.10469	11.958	0.17965	11.958
0.21006	11.958	0.10528	11.958	0.18067	11.958
0.21495	11.525	0.10587	11.525	0.18168	11.525
0.21495	13.254	0.11057	13.254	0.18975	13.254
0.23937	13.254	0.11116	13.254	0.19077	13.254
0.24914	13.110	0.11175	13.110	0.19177	13.110
0.24914	13.110	0.11175	13.110	0.19177	13.110
0.25403	14.695	0.11705	14.695	0.20086	14.695
0.25403	14.551	0.11763	14.551	0.20186	14.551
0.24914	14.407	0.11821	14.407	0.20286	14.407
0.23449	14.263	0.11763	14.263	0.20186	14.263
0.21983	15.992	0.12293	15.992	0.21096	15.992
0.21495	15.847	0.12293	15.847	0.21096	15.847
0.22472	15.703	0.12351	15.703	0.21196	15.703
0.20029	15.559	0.12351	15.559	0.21196	15.559
0.19052	17.288	0.12645	17.288	0.21700	17.288
0.18075	17.144	0.12645	17.144	0.21700	17.144
0.18075	17.000	0.12704	17.000	0.21801	17.000
0.19052	18.441	0.12880	18.441	0.22103	18.441
0.20518	18.585	0.12998	18.585	0.22305	18.585
0.20518	18.297	0.12998	18.297	0.22305	18.297
0.21495	18.297	0.12939	18.297	0.22205	18.297
0.21006	20.170	0.13233	20.170	0.22710	20.170
0.23937	19.737	0.13233	19.737	0.22710	19.737
0.23449	19.737	0.13292	19.737	0.22810	19.737
0.24914	19.593	0.13292	19.593	0.22810	19.593
0.26380	21.466	0.13586	21.466	0.23315	21.466
0.27357	21.322	0.13645	21.322	0.23417	21.322
0.28334	21.034	0.13645	21.034	0.23417	21.034
0.28334	20.890	0.13645	20.890	0.23417	20.890
0.28822	22.763	0.13880	22.763	0.23819	22.763
0.28822	22.475	0.13880	22.475	0.23819	22.475
0.28334	22.331	0.13880	22.331	0.23819	22.331
0.27845	22.331	0.13880	22.331	0.23819	22.331
0.28822	24.059	0.14116	24.059	0.24224	24.059
0.27357	23.915	0.14116	23.915	0.24224	23.915
0.26380	23.627	0.14116	23.627	0.24224	23.627
0.25891	23.483	0.14116	23.483	0.24224	23.483
0.25891	25.356	0.14350	25.356	0.24627	25.356
0.25891	25.212	0.14350	25.212	0.24627	25.212
0.26380	25.068	0.14350	25.068	0.24627	25.068
0.24426	25.644	0.14468	25.644	0.24829	25.644
0.22960	26.941	0.14586	26.941	0.25031	26.941
0.21495	26.653	0.14644	26.653	0.25131	26.653
0.21006	26.508	0.14644	26.508	0.25131	26.508
0.24914	28.381	0.14822	28.381	0.25436	28.381
0.21006	28.093	0.14822	28.093	0.25436	28.093
0.21495	28.093	0.14880	28.093	0.25536	28.093
0.21495	27.949	0.14822	27.949	0.25436	27.949
0.21983	29.822	0.14939	29.822	0.25636	29.822
0.22960	29.534	0.14998	29.534	0.25738	29.534
0.23449	29.390	0.15056	29.390	0.25838	29.390
0.21983	29.390	0.14998	29.390	0.25738	29.390
0.22960	31.119	0.15174	31.119	0.26041	31.119
0.22960	31.119	0.15174	31.119	0.26041	31.119
0.23449	30.975	0.15174	30.975	0.26041	30.975
0.23449	30.831	0.15233	30.831	0.26141	30.831
0.24914	32.703	0.15409	32.703	0.26443	32.703
0.25891	32.415	0.15409	32.415	0.26443	32.415
0.25891	32.415	0.15468	32.415	0.26545	32.415
0.27357	32.271	0.15468	32.271	0.26545	32.271
0.26868	34.000	0.15645	34.000	0.26848	34.000
0.28334	33.856	0.15586	33.856	0.26748	33.856
0.29311	33.856	0.15586	33.856	0.26748	33.856
0.31265	33.712	0.15586	33.712	0.26748	33.712
0.31754	35.585	0.15762	35.585	0.27050	35.585
0.31754	35.441	0.15762	35.441	0.27050	35.441
0.31754	35.153	0.15762	35.153	0.27050	35.153
0.32731	36.881	0.15880	36.881	0.27252	36.881
0.32731	36.881	0.15997	36.881	0.27453	36.881
0.32242	36.737	0.16057	36.737	0.27555	36.737
0.32731	36.737	0.16057	36.737	0.27555	36.737
0.32242	38.610	0.16174	38.610	0.27757	38.610
0.32731	38.466	0.16174	38.466	0.27757	38.466
0.32242	38.178	0.16174	38.178	0.27757	38.178
0.32731	38.178	0.16233	38.178	0.27857	38.178
0.32242	40.195	0.16351	40.195	0.28059	40.195
0.31265	39.907	0.16351	39.907	0.28059	39.907
0.29799	39.763	0.16351	39.763	0.28059	39.763
0.28822	39.619	0.16351	39.619	0.28059	39.619
0.25891	41.347	0.16469	41.347	0.28262	41.347
0.24914	41.347	0.16469	41.347	0.28262	41.347
0.25403	41.203	0.16527	41.203	0.28362	41.203
0.24914	40.915	0.16527	40.915	0.28362	40.915
0.24914	42.932	0.16703	42.932	0.28664	42.932
0.24914	42.644	0.16703	42.644	0.28664	42.644
0.24914	42.644	0.16703	42.644	0.28664	42.644
0.24426	42.356	0.16645	42.356	0.28564	42.356
0.24914	44.373	0.16821	44.373	0.28867	44.373
0.24426	44.085	0.16879	44.085	0.28967	44.085
0.24914	43.941	0.16879	43.941	0.28967	43.941
0.26380	45.093	0.16997	45.093	0.29169	45.093
0.26380	45.670	0.17057	45.670	0.29271	45.670
0.25891	45.670	0.17057	45.670	0.29271	45.670
0.26380	45.381	0.17057	45.381	0.29271	45.381
0.26380	47.254	0.17291	47.254	0.29674	47.254
0.27357	47.110	0.17351	47.110	0.29776	47.110
0.28822	46.966	0.17291	46.966	0.29674	46.966
0.29799	46.822	0.17351	46.822	0.29776	46.822
0.31265	48.839	0.17585	48.839	0.30178	48.839
0.33708	48.551	0.17644	48.551	0.30279	48.551
0.33708	48.407	0.17644	48.407	0.30279	48.407
0.33708	48.263	0.17644	48.263	0.30279	48.263
0.34196	50.136	0.17880	50.136	0.30683	50.136
0.34685	50.136	0.17880	50.136	0.30683	50.136
0.33708	49.992	0.17880	49.992	0.30683	49.992
0.34685	49.703	0.17938	49.703	0.30783	49.703
0.35662	51.720	0.18115	51.720	0.31088	51.720
0.35662	51.576	0.18115	51.576	0.31088	51.576
0.35662	51.288	0.18056	51.288	0.30986	51.288
0.35662	51.144	0.18056	51.144	0.30986	51.144
0.36639	53.017	0.18232	53.017	0.31288	53.017
0.36639	52.873	0.18232	52.873	0.31288	52.873
