Degrees	Sin(\fJ\n)	Cos(\fJ\n)	Tan(\fJ\n)
0.0000	0.0000	1.0000	0.0000
10.000	0.17365	0.98481	0.17633
20.000	0.34202	0.93969	0.36397
30.000	0.50000	0.86603	0.57735
40.000	0.64279	0.76604	0.83910
50.000	0.76604	0.64279	1.1918
60.000	0.86603	0.50000	1.7321
70.000	0.93969	0.34202	2.7475
80.000	0.98481	0.17365	5.6713
90.000	1.0000	6.1230e-17	1.6332e+16
100.00	0.98481	-0.17365	-5.6713
110.00	0.93969	-0.34202	-2.7475
120.00	0.86603	-0.50000	-1.7321
130.00	0.76604	-0.64279	-1.1918
140.00	0.64279	-0.76604	-0.83910
150.00	0.50000	-0.86603	-0.57735
160.00	0.34202	-0.93969	-0.36397
170.00	0.17365	-0.98481	-0.17633
180.00	1.2246e-16	-1.0000	-1.2246e-16
190.00	-0.17365	-0.98481	0.17633
200.00	-0.34202	-0.93969	0.36397
210.00	-0.50000	-0.86603	0.57735
220.00	-0.64279	-0.76604	0.83910
230.00	-0.76604	-0.64279	1.1918
240.00	-0.86603	-0.50000	1.7321
250.00	-0.93969	-0.34202	2.7475
260.00	-0.98481	-0.17365	5.6713
270.00	-1.0000	-1.8369e-16	5.4439e+15
280.00	-0.98481	0.17365	-5.6713
290.00	-0.93969	0.34202	-2.7475
300.00	-0.86603	0.50000	-1.7321
310.00	-0.76604	0.64279	-1.1918
320.00	-0.64279	0.76604	-0.83910
330.00	-0.50000	0.86603	-0.57735
340.00	-0.34202	0.93969	-0.36397
350.00	-0.17365	0.98481	-0.17633
360.00	-2.4492e-16	1.0000	-2.4492e-16
